Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771876280878,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,100,0,0,0,0,0,50,0,0,0,0,0,0,0,7.10169792175293,25769803776,0,12517326848,0
203,1771876280878,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,0,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0,7.10169792175293,25769803776,0,12518031360,0
202,1771876281083,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,0,0,0,0,19.047618865966797,14.285715103149414,0,0,0,0,0,0,7.10169792175293,25769803776,0,12505235456,0
200,1771876281286,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,35,30.000001907348633,0,0,0,0,15.000000953674316,5,0,0,0,0,0,0,7.10169792175293,25769803776,0,12505219072,0
200,1771876281487,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,75,76.19047546386719,0,0,0,0,78.94737243652344,68.42105102539063,0,0,0,0,0,0,7.10169792175293,25769803776,0,12511887360,0
204,1771876281688,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,65,70,0,0,0,0,61.904762268066406,80.95238494873047,0,0,0,0,0,0,7.10169792175293,25769803776,0,12526796800,0
203,1771876281893,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,76.19047546386719,73.68421173095703,0,0,0,0,65,61.904762268066406,0,0,0,0,0,0,6.577228546142578,25769803776,0,12635324416,0
200,1771876282097,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,40,40.90909194946289,0,0,0,0,28.571430206298828,15.789472579956055,0,0,0,0,0,0,6.577228546142578,25769803776,0,12623380480,0
204,1771876282298,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,35,26.3157901763916,0,0,0,0,21.052631378173828,14.285715103149414,0,0,0,0,0,0,6.577228546142578,25769803776,0,12623560704,0
203,1771876282503,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,50,50,4.545454502105713,0,0,0,35,35,0,0,0,0,0,0,6.577228546142578,25769803776,0,12624412672,0
204,1771876282707,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,40,30.000001907348633,10.526315689086914,9.523809432983398,0,0,14.285715103149414,10,0,0,0,0,0,9.523809432983398,6.577228546142578,25769803776,0,12623937536,0
203,1771876282912,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,61.904762268066406,57.142860412597656,0,0,0,0,50,47.619049072265625,0,0,0,0,0,0,6.786163806915283,25769803776,0,12622610432,0
203,1771876283116,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,40,35,4.761904716491699,0,0,0,28.571430206298828,15.000000953674316,0,0,0,0,0,0,6.786163806915283,25769803776,0,12660162560,0
204,1771876283320,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,35,25,0,0,0,0,15.000000953674316,19.047618865966797,0,0,0,0,0,0,6.786163806915283,25769803776,0,12659802112,0
199,1771876283525,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,42.85714340209961,25,0,0,4.761904716491699,0,10.526315689086914,0,0,0,0,0,0,4.761904716491699,6.786163806915283,25769803776,0,12658458624,0
203,1771876283726,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,36.842105865478516,25,0,0,0,0,14.285715103149414,9.523809432983398,0,0,0,0,0,0,6.786163806915283,25769803776,0,12659097600,0
201,1771876283930,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,55,50,0,0,0,0,40,40,0,0,0,0,0,0,6.8749680519104,25769803776,0,12660342784,0
203,1771876284132,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,30.000001907348633,23.809524536132813,0,0,0,0,10,5,0,0,0,0,0,0,6.8749680519104,25769803776,0,12663504896,0
201,1771876284336,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,35,21.052631378173828,0,0,0,0,10,13.636363983154297,0,0,0,0,0,0,6.8749680519104,25769803776,0,12662947840,0
204,1771876284538,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,0,0,0,0,19.047618865966797,5.555555820465088,0,0,0,0,0,0,6.8749680519104,25769803776,0,12663160832,0
202,1771876284743,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,33.333335876464844,30.000001907348633,0,0,0,0,25,18.18181800842285,0,0,0,0,0,4.545454502105713,6.8749680519104,25769803776,0,12663898112,0
201,1771876284947,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,35,25,0,0,0,0,20,5,0,0,0,0,0,0,6.637895107269287,25769803776,0,12663570432,0
202,1771876285148,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,55,45,0,5,4.761904716491699,0,55,45,0,0,0,0,0,0,6.637895107269287,25769803776,0,12523732992,0
201,1771876285351,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,30.000001907348633,25,0,0,0,0,15.000000953674316,5.263157844543457,0,0,0,0,0,0,6.637895107269287,25769803776,0,12523732992,0
203,1771876285553,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,33.333335876464844,19.047618865966797,0,0,0,0,19.047618865966797,23.809524536132813,0,0,0,0,0,0,6.637895107269287,25769803776,0,12523175936,0
204,1771876285757,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,36.842105865478516,26.3157901763916,0,0,0,0,15.789472579956055,33.333335876464844,0,0,0,0,0,9.090909004211426,6.31404447555542,25769803776,0,12523634688,0
200,1771876285962,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,19.047618865966797,0,0,0,0,19.047618865966797,10,0,0,0,0,0,0,6.31404447555542,25769803776,0,12616679424,0
204,1771876286163,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,42.105262756347656,25,0,0,0,0,15.000000953674316,15.000000953674316,0,0,0,0,0,0,6.31404447555542,25769803776,0,12608339968,0
201,1771876286368,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,26.3157901763916,0,0,0,0,10,5,0,0,0,0,0,0,6.31404447555542,25769803776,0,12608913408,0
201,1771876286569,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,31.57894515991211,23.809524536132813,0,0,0,0,10,5,0,0,0,0,0,0,6.31404447555542,25769803776,0,12608716800,0
201,1771876286771,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,38.095237731933594,25,4.761904716491699,0,0,0,19.047618865966797,5,0,0,0,0,0,0,6.458968639373779,25769803776,0,12635291648,0
204,1771876286973,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,25,0,0,0,0,10,5,0,0,0,0,0,0,6.458968639373779,25769803776,0,12636995584,0
202,1771876287179,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,35,33.333335876464844,0,0,0,0,5.263157844543457,5,0,0,0,0,0,0,6.458968639373779,25769803776,0,12624478208,0
204,1771876287382,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,35,26.3157901763916,0,0,0,0,23.809524536132813,10,0,0,0,0,0,0,6.458968639373779,25769803776,0,12624396288,0
202,1771876287587,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,30.000001907348633,25,0,0,0,0,15.000000953674316,13.636363983154297,0,0,0,0,0,0,6.458968639373779,25769803776,0,12623872000,0
204,1771876287790,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,35,28.571430206298828,0,0,0,0,20,5.555555820465088,0,0,0,0,0,0,6.225127696990967,25769803776,0,12616925184,0
199,1771876287995,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,28.571430206298828,0,0,0,0,23.809524536132813,13.636363983154297,0,0,0,0,0,0,6.225127696990967,25769803776,0,12556042240,0
203,1771876288195,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,30.000001907348633,30.000001907348633,0,0,0,0,15.000000953674316,0,0,0,0,0,0,0,6.225127696990967,25769803776,0,12521979904,0
200,1771876288399,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,35,21.052631378173828,0,0,0,0,10,9.523809432983398,0,0,0,0,0,0,6.225127696990967,25769803776,0,12521652224,0
202,1771876288600,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,30.000001907348633,25,0,0,0,0,15.000000953674316,19.047618865966797,0,0,0,0,0,0,6.225127696990967,25769803776,0,12521046016,0
202,1771876288802,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,35,26.3157901763916,0,0,0,0,15.000000953674316,10.526315689086914,0,0,0,0,0,5,6.106316566467285,25769803776,0,12519063552,0
202,1771876289005,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,35,27.272727966308594,0,0,0,0,10.526315689086914,9.523809432983398,0,0,0,0,0,0,6.106316566467285,25769803776,0,12519063552,0
204,1771876289208,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,30.000001907348633,25,0,0,0,0,19.047618865966797,5,0,0,0,0,0,0,6.106316566467285,25769803776,0,12519063552,0
203,1771876289413,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,33.333335876464844,25,0,0,0,0,10,15.000000953674316,0,0,0,0,0,0,6.106316566467285,25769803776,0,12519063552,0
201,1771876289617,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,15.789472579956055,0,0,0,0,10,15.000000953674316,0,0,0,0,0,0,6.106316566467285,25769803776,0,12491997184,0
203,1771876289820,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,31.57894515991211,28.571430206298828,0,0,0,0,19.047618865966797,10,0,0,0,0,0,4.761904716491699,6.106796741485596,25769803776,0,12484362240,0
204,1771876290024,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,30.000001907348633,0,0,0,0,5.263157844543457,9.523809432983398,0,0,0,0,0,0,6.106796741485596,25769803776,0,12484362240,0
203,1771876290228,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,20,0,0,0,0,19.047618865966797,10,0,0,0,0,0,0,6.106796741485596,25769803776,0,12484362240,0
204,1771876290432,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,35,28.571430206298828,0,4.545454502105713,0,0,15.000000953674316,5,0,0,0,0,0,0,6.106796741485596,25769803776,0,12484362240,0
