Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771887631059,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,50,0,0,0,0,0,0,50,0,0,0,0,0,0,10.673959732055664,25769803776,0,14255636480,0
203,1771887631060,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,NaN,0,0,0,0,0,NaN,0,0,0,0,0,0,0,10.673959732055664,25769803776,0,14256340992,0
203,1771887631265,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,23.809524536132813,20,0,0,0,0,9.523809432983398,10,0,0,0,0,0,9.523809432983398,10.673959732055664,25769803776,0,14256144384,0
203,1771887631468,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,42.105262756347656,38.095237731933594,10,4.761904716491699,0,4.761904716491699,25,15.000000953674316,0,0,0,0,0,15.000000953674316,10.673959732055664,25769803776,0,14268432384,0
204,1771887631672,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,77.2727279663086,76.19047546386719,5,5,0,0,70,65,0,0,0,0,0,0,10.673959732055664,25769803776,0,14286323712,0
204,1771887631877,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,57.894737243652344,55,9.090909004211426,0,0,0,70,50,0,0,0,0,0,9.523809432983398,7.041951656341553,25769803776,0,14421131264,0
204,1771887632083,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,71.42857360839844,61.904762268066406,0,5,0,0,61.904762268066406,57.142860412597656,0,0,0,0,0,4.761904716491699,7.041951656341553,25769803776,0,14403584000,0
204,1771887632288,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,35,25,4.761904716491699,0,0,0,14.285715103149414,19.047618865966797,0,0,0,0,0,5,7.041951656341553,25769803776,0,14403780608,0
201,1771887632493,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,47.619049072265625,38.095237731933594,4.761904716491699,4.761904716491699,0,0,35,23.809524536132813,0,0,0,0,0,10,7.041951656341553,25769803776,0,14403780608,0
201,1771887632695,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,42.105262756347656,26.3157901763916,5,0,0,0,21.052631378173828,21.052631378173828,0,0,0,0,0,0,7.041951656341553,25769803776,0,14405025792,0
203,1771887632898,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,52.38095474243164,45,5,0,0,0,38.095237731933594,42.85714340209961,0,0,0,0,0,5,6.310695648193359,25769803776,0,14405992448,0
203,1771887633102,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,45,28.571430206298828,9.523809432983398,0,0,0,25,14.285715103149414,0,0,0,0,0,4.761904716491699,6.310695648193359,25769803776,0,14350319616,0
202,1771887633306,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,38.095237731933594,30.000001907348633,0,4.761904716491699,0,0,28.571430206298828,21.052631378173828,0,0,0,0,0,0,6.310695648193359,25769803776,0,14350696448,0
199,1771887633510,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,31.57894515991211,30.000001907348633,9.523809432983398,0,0,0,20,23.809524536132813,0,0,0,0,0,9.523809432983398,6.310695648193359,25769803776,0,14350696448,0
204,1771887633710,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,45,65,5,0,0,0,35,21.052631378173828,0,0,0,0,0,0,6.310695648193359,25769803776,0,14351253504,0
202,1771887633915,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,38.095237731933594,30.000001907348633,14.285715103149414,9.523809432983398,13.636363983154297,14.285715103149414,20,23.809524536132813,4.545454502105713,0,0,0,0,14.285715103149414,6.24657678604126,25769803776,0,14350434304,0
204,1771887634119,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,28.571430206298828,5,5,0,0,14.285715103149414,5,0,0,0,0,0,0,6.24657678604126,25769803776,0,14331985920,0
203,1771887634324,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,20,5,0,0,0,25,9.523809432983398,0,0,0,0,0,9.523809432983398,6.24657678604126,25769803776,0,14331772928,0
203,1771887634528,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,40,55,9.523809432983398,4.761904716491699,0,5,25,15.000000953674316,0,0,0,0,0,0,6.24657678604126,25769803776,0,14343749632,0
201,1771887634732,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,71.42857360839844,52.38095474243164,4.761904716491699,0,0,0,55,50,0,0,0,0,0,4.761904716491699,6.24657678604126,25769803776,0,14341718016,0
200,1771887634934,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,73.68421173095703,78.94737243652344,10.526315689086914,0,4.761904716491699,4.761904716491699,66.66667175292969,61.904762268066406,0,0,0,0,0,0,6.170355319976807,25769803776,0,14342340608,0
204,1771887635136,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,60.000003814697266,57.142860412597656,0,0,0,0,60.000003814697266,47.36842346191406,0,0,0,0,0,14.285715103149414,6.170355319976807,25769803776,0,14342340608,0
204,1771887635341,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,57.142860412597656,55,4.761904716491699,0,0,0,45,40.90909194946289,0,0,0,0,0,20,6.170355319976807,25769803776,0,14342340608,0
199,1771887635546,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,40,30.000001907348633,9.523809432983398,4.761904716491699,0,4.761904716491699,20,20,0,0,0,0,0,10,6.170355319976807,25769803776,0,14342340608,0
200,1771887635746,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,40,40,0,0,0,0,45,15.000000953674316,0,0,0,0,0,4.761904716491699,6.170355319976807,25769803776,0,14338113536,0
203,1771887635947,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,35,60.000003814697266,5,0,0,0,52.38095474243164,30.000001907348633,0,0,0,0,0,10,6.169406890869141,25769803776,0,14335049728,0
204,1771887636151,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,45,60.000003814697266,4.761904716491699,5,0,0,42.105262756347656,26.3157901763916,0,0,0,0,0,5,6.169406890869141,25769803776,0,14340194304,0
201,1771887636356,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,52.38095474243164,52.38095474243164,5,0,0,0,60.000003814697266,42.85714340209961,0,0,0,0,0,0,6.169406890869141,25769803776,0,14343503872,0
202,1771887636558,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,60.000003814697266,60.000003814697266,5,0,0,0,42.85714340209961,25,0,0,0,0,0,10,6.169406890869141,25769803776,0,14346813440,0
202,1771887636762,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,85,80,9.523809432983398,0,0,0,80,76.19047546386719,0,0,0,0,0,9.523809432983398,6.169406890869141,25769803776,0,14357561344,0
204,1771887636965,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,84.21052551269531,85,0,0,0,5,85,70,0,0,0,0,0,5,6.343123912811279,25769803776,0,14433075200,0
202,1771887637170,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,72.7272720336914,57.142860412597656,5,0,0,0,47.619049072265625,45,0,0,0,0,0,9.523809432983398,6.343123912811279,25769803776,0,14430945280,0
