Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771875343919,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,0,0,0,0,0,0,0,50,0,0,0,0,0,0,4.745152950286865,25769803776,0,12485820416,0
201,1771875343920,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,100,0,0,0,0,0,0,0,0,0,0,0,0,0,4.745152950286865,25769803776,0,12486672384,0
204,1771875344122,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,10,19.047618865966797,0,0,0,0,5,0,0,0,0,0,0,0,4.745152950286865,25769803776,0,12486819840,0
200,1771875344327,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,20,20,0,0,0,0,4.761904716491699,4.761904716491699,0,0,0,0,0,0,4.745152950286865,25769803776,0,12483198976,0
204,1771875344529,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,61.904762268066406,60.000003814697266,4.761904716491699,0,0,0,71.42857360839844,52.38095474243164,0,0,0,0,0,9.090909004211426,4.745152950286865,25769803776,0,12501843968,0
201,1771875344735,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,35,76.19047546386719,0,0,0,0,40,21.052631378173828,0,0,0,0,0,0,4.745152950286865,25769803776,0,12640649216,0
204,1771875344937,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,75,75,0,0,0,0,63.15789031982422,50,0,0,0,0,0,0,4.9883036613464355,25769803776,0,12628279296,0
200,1771875345142,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,20,15.000000953674316,4.761904716491699,4.545454502105713,0,0,4.761904716491699,9.090909004211426,0,0,0,0,0,0,4.9883036613464355,25769803776,0,12628279296,0
203,1771875345343,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,42.85714340209961,25,0,0,0,0,25,21.052631378173828,0,0,0,0,0,0,4.9883036613464355,25769803776,0,12628279296,0
202,1771875345548,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,35,30.000001907348633,0,0,0,0,20,14.285715103149414,0,0,0,0,0,0,4.9883036613464355,25769803776,0,12611731456,0
204,1771875345751,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,55,38.095237731933594,0,0,0,0,28.571430206298828,25,0,0,0,0,0,0,5.124245643615723,25769803776,0,12612190208,0
200,1771875345956,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,20,20,0,0,0,0,15.000000953674316,10,0,0,0,0,0,4.761904716491699,5.124245643615723,25769803776,0,12740526080,0
